grp1,grp1_size,grp2,grp2_size,p-value
spain_80's,18,australia_2000's,66,0.014066545150409837
portugal_2000's,109,germany_80's,34,3.26405569239796e-14
50's,22,netherlands_80's,43,0.00027011225270823225
brazil,27,spain_90's,31,5.2269601175991554e-05
france_2000's,163,70's,164,2.0402554028105083e-34
new zealand,23,france_90's,29,2.9725675380065653e-06
austria_90's,26,australia_2000's,66,8.006123818349309e-07
australia_2000's,134,canada_80's,134,1.0440535628025959e-29
japan,18,united kingdom_2000's,95,7.103054009416354e-07
brazil,27,australia_2000's,66,3.407293336366024e-10
brazil,27,france_90's,29,4.712044103794e-07
china_2000's,11,japan_90's,13,0.014638578543545666
austria_90's,26,france_90's,29,4.027443101239925e-06
brazil_2000's,16,china,20,9.444609728737063e-07
portugal_2000's,109,spain_90's,31,8.253620009668339e-12
france_80's,11,japan_90's,13,0.04820074482882397
netherlands_90's,16,australia_2000's,66,3.1003425492226455e-05
finland_2000's,28,spain_90's,31,1.5722627644265685e-09
50's,22,60's,32,0.0010260620505522233
japan,18,australia_2000's,66,9.170338350905638e-06
switzerland_90's,30,united kingdom_2000's,95,1.9333179501757058e-10
brazil_2000's,16,60's,32,1.2710388297421105e-09
spain_90's,86,finland,31,1.9063839507005298e-08
china_2000's,11,usa_60's,26,0.0016776668612039636
netherlands_2000's,19,denmark,14,0.011709279768717273
new zealand,23,australia_2000's,66,4.279262679762752e-07
malaysia_90's,57,portugal_90's,122,2.689437561542718e-11
china,18,netherlands_80's,43,3.2757302981245573e-07
italy,30,denmark,14,5.59282917698134e-05
switzerland,64,usa_50's,58,1.2421603079459942e-08
brazil,27,finland,31,1.4759792782759185e-05
austria_2000's,50,united kingdom_80's,50,2.623447502564397e-09
china_2000's,11,netherlands_80's,43,0.00011450448553429471
france_90's,57,united kingdom_90's,114,3.175237850427948e-14
austria,77,germany_90's,75,1.4988010832439613e-14
brazil,27,austria,27,1.8192713924938412e-07
malaysia_2000's,39,australia_80's,35,1.5926737706450922e-10
austria_90's,26,austria,27,0.0005450174347600978
new zealand_2000's,17,spain_2000's,24,0.004623392671330828
netherlands_90's,16,france_2000's,34,0.010481686955289393
austria_2000's,50,germany_2000's,53,1.2048875341896803e-08
netherlands_2000's,19,united kingdom_2000's,95,3.805091361996915e-07
austria_2000's,50,malaysia_90's,56,1.956083628407157e-09
china,18,australia_2000's,66,5.71930900932216e-05
austria_90's,26,united kingdom_2000's,95,3.1355725793602574e-09
